PROP,TAHUN,KONVERSI,POP,RASIO.LAHAN,PROTAS,RASIO.INDU,GABAH,RASIO.PDRB
ACEH,2015,-3792,5018.7,5.00961073918145,50.56,4.87159885980824,4726.94,0.291255141642072
ACEH,2016,2730,5094.5,5.05671543929878,51.34,5.46663042000816,4904.27,0.293896699891848
ACEH,2017,1416,5169.4,5.08114776727172,53.04,5.77942156470745,4568.57,0.297399987654914
ACEH,2018,101175,5243.4,3.33542687556077,56.49,5.71208574596526,4953.78,0.297381198247718
ACEH,2019,20689,5316.3,3.69240458278694,55.3,6.22849427799923,4860.39,0.295066488794674
SUMATERA UTARA,2015,-9578,13961.4,5.80238233858213,51.74,1.08441064638783,4620.42,0.219491291221958
SUMATERA UTARA,2016,-436,14136.8,5.79640819975218,52.05,1.07490797839285,4760.67,0.215499079166154
SUMATERA UTARA,2017,-7354,14308.4,5.69564256453337,51.98,1.05441015444906,4656.36,0.213791602520471
SUMATERA UTARA,2018,-169874,14476,3.36800297830004,51.65,1.04478205214579,4984.25,0.20918274438286
SUMATERA UTARA,2019,62866,14639.4,4.22940254638076,50.32,1.07820186933076,4860.63,0.205291586262786
SUMATERA BARAT,2015,487,5200.9,5.38827488420816,50.25,2.4246807117127,4736.78,0.246871387925669
SUMATERA BARAT,2016,-3895,5272.5,5.29556524200073,50.9,2.38343775262732,5240.69,0.240557065563822
SUMATERA BARAT,2017,-461,5342.8,5.28459241913613,52.47,2.42460031686591,5285.04,0.236108708559887
SUMATERA BARAT,2018,-24221,5411.8,4.70807887769682,47.37,2.54687276370402,5578.63,0.231738920939197
SUMATERA BARAT,2019,-3518,5479.5,4.6243426719752,47.58,2.6416412047141,5538.18,0.221459646269567
RIAU,2015,-15589,6356.7,0.827418658328092,36.63,0.926345336125278,3841.49,0.220936574126558
RIAU,2016,146,6478.4,0.8290963629891,37.57,0.928626621176638,3954.39,0.229183261234064
RIAU,2017,-2135,6598.7,0.804562805103807,39.46,0.9290667801031,3848.33,0.235542531981467
RIAU,2018,16231,6717.6,0.991075300671105,37.28,0.902192698206956,4373.67,0.222063294353172
RIAU,2019,-23558,6835.1,0.720367311602385,36.56,0.897263905690973,4345.64,0.229264661005356
JAMBI,2015,-6460,3403.9,1.89249864557547,44.31,2.55591222131435,4963.75,0.282415229644152
JAMBI,2016,1853,3445.9,1.92951558746866,45.57,2.85060401196941,4818.58,0.300480727107051
JAMBI,2017,1102,3487,1.95152998032688,45.98,2.87915963809232,4856.82,0.296778510759374
JAMBI,2018,13457,3527.1,2.22035728041143,44.44,2.80095795635977,5273.04,0.27849373914633
JAMBI,2019,-42798,3566.2,1.36539177628582,44.57,2.83729544708585,5456.94,0.278945087771058
SUMATERA SELATAN,2015,3879,8062.7,6.77601849847198,48.67,0.933289549298087,4004,0.17133160118879
SUMATERA SELATAN,2016,-5448,8174.1,6.71653760032352,50.03,0.881558728311626,3821,0.166983640746382
SUMATERA SELATAN,2017,6719,8283.8,6.78989519112005,49.43,0.80785046728972,3997,0.15803137226224
SUMATERA SELATAN,2018,-234666,8391.5,4.2278275617319,51.48,0.760602283004571,4510.4,0.14839100412025
SUMATERA SELATAN,2019,83365,8497.2,5.13800103349152,48.27,0.747909879946238,4375.7,0.144820391572178
BENGKULU,2015,-3626,1875.9,4.27373812271798,44.92,4.96268896751367,4500,0.306532363809751
BENGKULU,2016,-1681,1900.7,4.18934773408543,43.29,4.81315483119907,4300,0.298606095623285
BENGKULU,2017,-1020,1924.9,4.13814119249995,44.22,4.74444741771475,4236.69,0.292294503610406
BENGKULU,2018,-34461,1948.6,2.40811312428681,43.83,4.7206648474324,4773.08,0.286568377934732
BENGKULU,2019,2872,1971.8,2.55229468059418,46.03,4.72771701186875,4711.88,0.281769258509251
LAMPUNG,2015,14408,8123,10.9018363091284,51.49,1.67547373445964,4607.51,0.319222723551998
LAMPUNG,2016,13336,8210.3,11.2870048925883,50.46,1.69850689127106,4331.6,0.317552913556034
LAMPUNG,2017,5800,8295.3,11.4545197234272,50.6,1.60692125741318,4605.49,0.30567655689599
LAMPUNG,2018,-143016,8377.7,7.32395057734853,48.61,1.53330968209653,4984.27,0.299013975201988
LAMPUNG,2019,108116,8457.6,10.4465425516552,46.63,1.43960695813067,4789.75,0.287943994145964
BANGKA BELITUNG,2015,3178,1373.3,0.649534889667963,22.85,0.935754189944134,4753,0.197747060849033
BANGKA BELITUNG,2016,3152,1393.1,0.841448460368508,22.79,1.00328897047575,4958,0.201651088427008
BANGKA BELITUNG,2017,-141,1412.7,0.832863494166485,23.09,0.923612087139845,5500,0.18811994560939
BANGKA BELITUNG,2018,-8270,1432.1,0.329333916218036,26.53,0.873597556927571,5270.97,0.179981672206037
BANGKA BELITUNG,2019,16993,1451.1,1.36397455927463,28.56,0.915213145666375,4725.43,0.179299426083515
KEP. RIAU,2015,-159,1982.8,0.029993708636725,36.46,0.0945495291198677,5354,0.0355163601743749
KEP. RIAU,2016,40,2045.3,0.0348707344313144,33.8,0.0956062442789639,5508,0.0357810821821414
KEP. RIAU,2017,24,2109.4,0.0377969499080681,32.45,0.0945689777735652,5974,0.0350538191623446
KEP. RIAU,2018,910,2174.8,0.148749286734978,29.19,0.088242022812197,6244.44,0.0325533915811303
KEP. RIAU,2019,174,2241.6,0.169964348941442,32.3,0.0816642669182265,6094.44,0.0307288766996349
DKI JAKARTA,2015,-128,10179,0.978900920166865,55.95,0.00679018192150491,4900,0.000937112416789797
DKI JAKARTA,2016,-69,10265.3,0.874986822487613,53.3,0.00682999972487413,4480,0.000919838782737414
DKI JAKARTA,2017,-10,10348.3,0.8599268083312,53.84,0.00645959837738416,4509,0.000867100653855617
DKI JAKARTA,2018,-120,10428,0.67920663845424,72.76,0.00621930589619466,5415,0.00081963830229572
DKI JAKARTA,2019,-37,10504.1,0.623484586075511,53.96,0.00630857551269785,5012,0.000777444243503066
JAWA BARAT,2015,-11513,46805.2,25.8013509052015,61.22,0.201725271914546,4837.13,0.0868853587763734
JAWA BARAT,2016,1182,47365.8,25.8347617260109,60.49,0.20862069945815,4593.59,0.0887760866856436
JAWA BARAT,2017,-2159,47922.8,25.7737346852938,58.87,0.202518588160517,4645.16,0.0855307566563038
JAWA BARAT,2018,18517,48475.5,26.2971426116295,56.51,0.205678816852717,5023.8,0.086785968577415
JAWA BARAT,2019,-2116,49023.2,26.2373310237844,57.54,0.210877244178116,4977.06,0.0878132250416126
JAWA TENGAH,2015,-1386,33728.9,29.4280699582844,60.25,0.443269550701835,4584.16,0.155493591905732
JAWA TENGAH,2016,-1596,33946.4,29.379412445287,58.73,0.436097201494021,4259.24,0.151300862581933
JAWA TENGAH,2017,-11913,34156.4,29.0162188661275,56.68,0.416205194459375,4540.52,0.143935640926164
JAWA TENGAH,2018,28866,34358.5,29.8962613286489,57.63,0.408668156040557,4903.13,0.14062799376469
