day,price,sub_category,main_category
2017-01-03,11200,Beras,Beras
2017-01-04,11200,Beras,Beras
2017-01-05,11200,Beras,Beras
2017-01-06,11200,Beras,Beras
2017-01-09,11200,Beras,Beras
2017-01-10,11200,Beras,Beras
2017-01-11,11200,Beras,Beras
2017-01-12,11200,Beras,Beras
2017-01-13,11200,Beras,Beras
2017-01-16,11250,Beras,Beras
2017-01-17,11250,Beras,Beras
2017-01-18,11250,Beras,Beras
2017-01-19,11250,Beras,Beras
2017-01-20,11250,Beras,Beras
2017-01-23,11250,Beras,Beras
2017-01-24,11250,Beras,Beras
2017-01-25,11250,Beras,Beras
2017-01-26,11250,Beras,Beras
2017-01-27,11250,Beras,Beras
2017-01-30,11250,Beras,Beras
2017-01-31,11250,Beras,Beras
2017-02-01,11250,Beras,Beras
2017-02-02,11250,Beras,Beras
2017-02-03,11250,Beras,Beras
2017-02-06,11250,Beras,Beras
2017-02-07,11250,Beras,Beras
2017-02-08,11250,Beras,Beras
2017-02-09,11250,Beras,Beras
2017-02-10,11250,Beras,Beras
2017-02-13,11250,Beras,Beras
2017-02-14,11250,Beras,Beras
2017-02-15,10600,Beras,Beras
2017-02-16,11250,Beras,Beras
2017-02-17,11250,Beras,Beras
2017-02-20,11250,Beras,Beras
2017-02-21,11350,Beras,Beras
2017-02-22,11250,Beras,Beras
2017-02-23,11250,Beras,Beras
2017-02-24,11300,Beras,Beras
2017-02-27,11250,Beras,Beras
2017-02-28,11300,Beras,Beras
2017-03-01,11250,Beras,Beras
2017-03-02,11250,Beras,Beras
2017-03-03,11250,Beras,Beras
2017-03-06,11250,Beras,Beras
2017-03-07,11250,Beras,Beras
2017-03-08,11250,Beras,Beras
2017-03-09,11250,Beras,Beras
2017-03-10,11250,Beras,Beras
2017-03-13,11200,Beras,Beras
2017-03-14,11200,Beras,Beras
2017-03-15,11200,Beras,Beras
2017-03-16,11200,Beras,Beras
2017-03-17,11200,Beras,Beras
2017-03-20,11200,Beras,Beras
2017-03-21,11200,Beras,Beras
2017-03-22,11200,Beras,Beras
2017-03-23,11200,Beras,Beras
2017-03-24,11200,Beras,Beras
2017-03-27,11250,Beras,Beras
2017-03-29,11200,Beras,Beras
2017-03-30,11200,Beras,Beras
2017-03-31,11200,Beras,Beras
2017-04-03,11200,Beras,Beras
2017-04-04,11200,Beras,Beras
2017-04-05,11200,Beras,Beras
2017-04-06,11200,Beras,Beras
2017-04-07,11200,Beras,Beras
2017-04-10,11200,Beras,Beras
2017-04-11,11200,Beras,Beras
2017-04-12,11200,Beras,Beras
2017-04-13,11200,Beras,Beras
2017-04-17,11150,Beras,Beras
2017-04-18,11150,Beras,Beras
2017-04-19,11150,Beras,Beras
2017-04-20,11150,Beras,Beras
2017-04-21,11150,Beras,Beras
2017-04-25,11150,Beras,Beras
2017-04-26,11200,Beras,Beras
2017-04-27,11150,Beras,Beras
2017-04-28,11200,Beras,Beras
2017-05-02,11150,Beras,Beras
2017-05-03,11150,Beras,Beras
2017-05-04,11200,Beras,Beras
2017-05-05,11200,Beras,Beras
2017-05-08,11200,Beras,Beras
2017-05-09,11200,Beras,Beras
2017-05-10,11200,Beras,Beras
2017-05-12,11200,Beras,Beras
2017-05-15,11200,Beras,Beras
2017-05-16,11200,Beras,Beras
2017-05-17,11200,Beras,Beras
2017-05-18,11200,Beras,Beras
