age_yr;family_org;exp_yr;mid;downstream;acreage_sqm;yield_kg;labour_org;seed_kg;manure_kg;log_acreage;log_yield;log_labour;log_seed;log_manure;d1_1;d1_2;d1_3;d1_4;d2_1;d2_2;d2_3;d2_4;d2_5;d3_1;d3_2;d3_3;d3_4;d4_1;d4_2;d4_3;d4_4;e1_1;e1_2;e1_3;e1_4;e2_1;e2_2;e2_3;e2_4;e2_5;e3_1;e3_2;e3_3;e3_4;f1_1;f1_2;f1_3;f1_4;f2_1;f2_2;f2_3;f2_4;f3_1;f3_2;f3_3;f3_4;f3_5;g1_1;g1_2;g1_3;g1_4;g1_5;g2_1;g2_2;g2_3;g2_4;adaptasi1_1;adaptasi1_2;adaptasi1_3;lingkungan2_1;lingkungan2_2;mitigasi3_1;mitigasi3_2;mitigasi3_3;mitigasi3_4;mitigasi3_5;produksi4_1;produksi4_2;produksi4_3;produksi4_4;produksi4_5;sosial5_1;sosial5_2;sosial5_3;ekonomi6_1;ekonomi6_2;ekonomi6_3;ekonomi6_4;ekonomi6_5;ekonomi6_6
75;2;20;0;0;10000;12000;40;50;1600;4;4.07918124604762;1.60205999132796;1.69897000433602;3.20411998265592;2.28225546322899;2.54320250946164;2.30953238350105;2.52124561291124;3.69741969909386;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;2.3523464334854;1;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;1.9698178204238;2.24720222864421;2.13161221186729;2.18716124235017;3.31290682887049;3.50907770710191;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;3.78516282478141;4.58912371182732;4.4868514378954;4.69216891683647;2.25494251102376;1.96722096956597;2.2414941394042;2.20635182314303;3.91202946372234;3.92476742236085;4.50997328650962;4.43048894484358;4.17504038364695;3.78621845510159;4.04820219607644;4.38661246607969;3.85472420956226;3.54177339366547;3.400244;1;2.905658;2.251186;2.552228;2.302462;3.619373;5.330098;3.624194;3.113618;2.605249;3.573757;1;2.34137;2.92899;2.075129;3.387267;1;5.086402;4.700008;2.417717;3.323561;3.259124;4.938916
39;3;10;0;0;8000;10000;40;40;480;3.90308998699194;4;1.60205999132796;1.60205999132796;2.68124123737559;2.28225546322899;2.54320250946164;2.30953238350105;2.52124561291124;3.69741969909386;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;2.3523464334854;4.84488846861793;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;4.05885410729385;3.31290682887049;3.50907770710191;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;4.3431839666906;4.56975817077864;4.33202797708344;4.62866151341824;3.78516282478141;4.58912371182732;4.4868514378954;4.69216891683647;2.25494251102376;1.96722096956597;2.2414941394042;2.20635182314303;3.91202946372234;3.92476742236085;4.50997328650962;4.43048894484358;4.17504038364695;3.78621845510159;4.04820219607644;4.38661246607969;3.85472420956226;3.54177339366547;2.321201;1;2.905658;2.251186;2.552228;1;3.619373;4.261663;3.624194;3.113618;2.605249;3.573757;1;2.34137;2.92899;1;2.202079;1;5.086402;4.700008;3.443439;3.323561;3.259124;3.404671
53;3;5;0;0;2500;1800;15;3.75;37.5;3.39794000867204;3.25527250510331;1.17609125905568;0.574031267727719;1.57403126772772;4.2542925832878;4.39253015068777;4.28588020256065;3.626474743356;3.69741969909386;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;4.73145170458151;4.84488846861793;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;4.05885410729385;3.31290682887049;3.50907770710191;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;4.3431839666906;4.56975817077864;4.33202797708344;4.62866151341824;3.78516282478141;2.75680720075089;2.53375234479293;4.69216891683647;4.45417645067644;3.97858642299128;4.50561788521829;3.53975702854426;3.91202946372234;2.33353972899358;3.44299683380665;2.38496754694837;3.32671046779238;2.94414672725435;2.86889033290433;3.33856936219102;2.95244891980085;2.78634843669992;1.843951;1;2.905658;2.251186;1;2.302462;3.619373;3.08235;3.624194;2.365555;2.605249;3.573757;1;2.34137;1;2.075129;2.202079;3.431807;3.361935;3.188445;1;3.323561;3.259124;3.404671
53;4;30;0;0;2500;2500;15;3.75;37.5;3.39794000867204;3.39794000867204;1.17609125905568;0.574031267727719;1.57403126772772;4.2542925832878;4.39253015068777;4.28588020256065;3.626474743356;3.69741969909386;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;4.73145170458151;4.84488846861793;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;4.05885410729385;3.31290682887049;3.50907770710191;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;4.3431839666906;4.56975817077864;4.33202797708344;4.62866151341824;3.78516282478141;3.69916605436049;3.52970480242446;4.69216891683647;4.45417645067644;3.97858642299128;4.50561788521829;3.53975702854426;3.91202946372234;2.33353972899358;4.50997328650962;4.43048894484358;4.17504038364695;3.78621845510159;4.04820219607644;4.38661246607969;3.85472420956226;3.54177339366547;1.843951;1;2.905658;2.251186;2.552228;1;3.619373;4.261663;3.624194;2.365555;2.605249;3.573757;2.527282;2.34137;2.92899;2.075129;2.202079;4.118641;5.086402;4.700008;1;3.323561;3.259124;3.404671
60;6;40;0;0;7000;5000;12;49.7;299.6;3.84509804001426;3.69897000433602;1.07918124604762;1.69635638873333;2.47654180902743;4.2542925832878;4.39253015068777;4.28588020256065;4.61035400503481;4.93597898202048;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;2.3523464334854;2.43959482877361;4.11256210180924;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;2.94233011372017;4.05885410729385;3.31290682887049;3.50907770710191;3.53153025530216;3.23049615114934;3.37691315818969;3.85216486801159;3.07992614689203;3.92188812750499;3.66964946192881;2.47972427536165;2.5628832159573;4.33202797708344;4.62866151341824;3.78516282478141;2.75680720075089;4.4868514378954;4.69216891683647;2.25494251102376;3.97858642299128;2.2414941394042;2.20635182314303;3.91202946372234;3.92476742236085;4.50997328650962;2.38496754694837;2.36312148816913;3.78621845510159;4.04820219607644;2.22453451561005;2.09080788958823;2.03467826156653;2.684574;1;1;3.030641;2.552228;1;2.684162;3.08235;1.974185;1;4.139744;3.573757;1;1;2.115827;2.859918;2.202079;2.905798;3.361935;3.188445;3.443439;3.323561;3.259124;3.404671
40;2;10;0;0;4500;3000;198;45;149.85;3.65321251377534;3.47712125471966;2.29666519026153;1.65321251377534;2.17565674728166;1;2.54320250946164;2.30953238350105;2.52124561291124;2.22968699326937;2.30413729102943;2.18594503766934;2.23745981113385;2.28323413237892;2.1901362459633;2.58593933232526;2.3523464334854;2.43959482877361;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;2.18716124235017;2.08858216452189;2.14572790578305;2.14988140028723;2.36735499135022;2.0216462429411;3.85216486801159;2.20505496578415;3.92188812750499;3.66964946192881;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;2.12433991095465;2.75680720075089;2.53375234479293;2.76673291161913;2.25494251102376;3.97858642299128;2.2414941394042;2.20635182314303;1.97578381159481;3.92476742236085;2.38080044094893;2.38496754694837;2.36312148816913;2.12896031990924;4.04820219607644;2.22453451561005;2.09080788958823;2.03467826156653;1;1;1;1;1;1;1.606494;3.08235;2.718569;1;1;3.573757;1;1;1;2.859918;1;1;3.361935;3.188445;3.443439;3.323561;3.259124;3.404671
59;7;30;0;0;2500;1800;20;25;225;3.39794000867204;3.25527250510331;1.30102999566398;1.39794000867204;2.35218251811136;2.28225546322899;2.54320250946164;2.30953238350105;2.52124561291124;3.69741969909386;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;2.3523464334854;2.43959482877361;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;2.18716124235017;3.31290682887049;3.50907770710191;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;3.78516282478141;2.75680720075089;2.53375234479293;4.69216891683647;2.25494251102376;3.97858642299128;2.2414941394042;2.20635182314303;3.91202946372234;3.92476742236085;4.50997328650962;2.38496754694837;2.36312148816913;3.78621845510159;4.04820219607644;4.38661246607969;2.09080788958823;3.54177339366547;2.321201;1;1;3.030641;1;1;2.684162;3.08235;2.718569;1;2.605249;3.573757;1;1;1;2.075129;2.202079;2.15365;3.361935;3.188445;3.443439;3.323561;3.259124;3.404671
36;4;2;0;0;5000;5000;16;30;600;3.69897000433602;3.69897000433602;1.20411998265592;1.47712125471966;2.77815125038364;2.28225546322899;2.54320250946164;2.30953238350105;2.52124561291124;2.22968699326937;2.30413729102943;2.18594503766934;2.23745981113385;2.28323413237892;2.1901362459633;2.58593933232526;2.3523464334854;2.43959482877361;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;2.18716124235017;2.08858216452189;2.14572790578305;2.14988140028723;2.36735499135022;2.0216462429411;3.85216486801159;2.20505496578415;3.92188812750499;3.66964946192881;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;2.12433991095465;2.75680720075089;2.53375234479293;2.76673291161913;2.25494251102376;3.97858642299128;2.2414941394042;2.20635182314303;1.97578381159481;3.92476742236085;4.50997328650962;2.38496754694837;2.36312148816913;3.78621845510159;4.04820219607644;2.22453451561005;2.09080788958823;3.54177339366547;2.684574;1;1;1;1;1;1.606494;1.962471;3.624194;1;4.139744;3.573757;1;1;1;2.075129;1;2.15365;3.361935;3.188445;2.417717;4.813473;3.259124;3.404671
31;3;9;0;0;22000;14300;20;264;1320;4.34242268082221;4.15533603746506;1.30102999566398;2.42160392686983;3.12057393120585;4.2542925832878;4.39253015068777;4.28588020256065;4.61035400503481;3.69741969909386;4.03929773138387;3.82890753568842;3.87962946468104;3.79853621269151;2.1901362459633;4.24608497988177;2.3523464334854;4.84488846861793;4.11256210180924;4.0084586492562;4.22171297963188;4.53834412237969;3.9443867724375;4.00874465837667;3.85267436368364;4.05885410729385;3.31290682887049;3.50907770710191;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;4.3431839666906;4.56975817077864;4.33202797708344;4.62866151341824;3.78516282478141;4.58912371182732;4.4868514378954;4.69216891683647;4.45417645067644;3.97858642299128;4.50561788521829;5.18027334322561;3.91202946372234;3.92476742236085;4.50997328650962;4.43048894484358;2.36312148816913;3.78621845510159;4.04820219607644;4.38661246607969;3.85472420956226;3.54177339366547;2.321201;1;1;3.030641;1;3.177772;2.684162;3.08235;2.718569;1;5.081514;3.573757;1;1;2.115827;3.805811;2.202079;2.15365;3.361935;3.188445;3.443439;4.813473;5.315623;3.404671
60;4;30;0;0;20000;15000;10;300;1300;4.30102999566398;4.17609125905568;1;2.47712125471966;3.11394335230684;2.28225546322899;2.54320250946164;2.30953238350105;2.52124561291124;2.22968699326937;2.30413729102943;2.18594503766934;2.23745981113385;2.28323413237892;2.1901362459633;2.58593933232526;2.3523464334854;2.43959482877361;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;2.24720222864421;2.13161221186729;2.18716124235017;2.08858216452189;2.14572790578305;2.14988140028723;2.36735499135022;2.0216462429411;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;2.12433991095465;2.75680720075089;2.53375234479293;2.76673291161913;2.25494251102376;3.97858642299128;2.2414941394042;2.20635182314303;1.97578381159481;3.92476742236085;4.50997328650962;2.38496754694837;2.36312148816913;3.78621845510159;4.04820219607644;2.22453451561005;2.09080788958823;2.03467826156653;2.684574;1;1;1;2.552228;1;1.606494;3.08235;2.718569;1;2.605249;5.980714;1;1;2.115827;2.859918;1;1;2.000073;6.083895;2.417717;4.813473;3.259124;3.404671
