Kode_kecamatan,Kecamatan,Penduduk_ribu,Pertumbuhan_persen,Persentase,Kepadatan,RJK
IDN.11.8.1_1,Ajung,86033,0.62,3.29,1481,101.4
IDN.11.8.2_1,Ambulu,121482,0.64,4.64,990,101.9
IDN.11.8.3_1,Arjasa,43286,0.77,1.65,1150,98.1
IDN.11.8.4_1,Balung,84749,0.42,3.24,1496,100.5
IDN.11.8.5_1,Bangsalsari,128748,0.46,4.92,840,99.8
IDN.11.8.6_1,Gumuk Mas,90255,0.01,3.45,1008,102.1
IDN.11.8.7_1,Jelbuk,33938,0.86,1.3,498,99.4
IDN.11.8.8_1,Jenggawah,91828,0.58,3.51,1408,101.7
IDN.11.8.9_1,Jombang,56241,-0.35,2.15,990,100.9
IDN.11.8.10_1,Kalisat,80671,0.28,3.08,1489,97.5
IDN.11.8.11_1,Kaliwates,127701,0.6,4.88,3850,97.4
IDN.11.8.12_1,Kencong,71155,-0.42,2.72,972,99.4
IDN.11.8.13_1,Ledokombo,70559,0.36,2.7,485,97.7
IDN.11.8.14_1,Mayang,52840,0.56,2.02,883,98
IDN.11.8.15_1,Mumbulsari,70473,0.53,2.69,719,100
IDN.11.8.16_1,Pakusari,47131,0.74,1.8,1455,97.3
IDN.11.8.17_1,Panti,67654,0.52,2.59,813,97.9
IDN.11.8.18_1,Patrang,103922,0.51,3.97,1914,98.1
IDN.11.8.19_1,Puger,126660,0.19,4.84,740,102.2
IDN.11.8.20_1,Rambipuji,88684,0.15,3.39,1557,100.7
IDN.11.8.21_1,Semboro,50011,-0.21,1.91,1025,99.6
IDN.11.8.22_1,Silo,112043,0.43,4.28,399,100.3
IDN.11.8.23_1,Sukorambi,42929,0.69,1.64,879,98.2
IDN.11.8.24_1,Sukowono,62498,0.59,2.39,1331,96.9
IDN.11.8.25_1,Sumber Baru,116359,-0.33,4.45,631,99.1
IDN.11.8.26_1,Sumberjambe,65112,0.67,2.49,507,97.8
IDN.11.8.27_1,Sumbersari,137792,0.92,5.27,2908,97.9
IDN.11.8.28_1,Tanggul,94169,-0.24,3.6,722,99
IDN.11.8.29_1,Tempurejo,82126,0.38,3.14,144,101
IDN.11.8.30_1,Umbulsari,79411,-0.27,3.04,1142,100.3
IDN.11.8.31_1,Wuluhan,129414,0.56,4.95,1433,103.5
