Kode_kecamatan,Kecamatan,Penduduk_ribu,Persentase,Kepadatan,RJK
IDN.11.19.1_1,Candipuro,76267,6.83,533,100.3
IDN.11.19.2_1,Gucialit,26206,2.35,257,97.7
IDN.11.19.3_1,Jatiroto,47813,4.28,891,98.4
IDN.11.19.4_1,Kedungjajang,46648,4.28,705,95.5
IDN.11.19.5_1,Klakah,54864,4.92,628,97.1
IDN.11.19.6_1,Kunir,56495,5.06,1060,98
IDN.11.19.7_1,Lumajang,84899,7.61,2982,96.9
IDN.11.19.8_1,Padang,38049,3.41,707,96.9
IDN.11.19.9_1,Pasirian,90502,8.11,705,98.8
IDN.11.19.10_1,Pasrujambe,41436,3.71,255,100.7
IDN.11.19.11_1,Pronojiwo,36285,3.25,256,101.6
IDN.11.19.12_1,Randuagung,70238,6.29,748,97.4
IDN.11.19.13_1,Ranuyoso,48606,4.35,440,97.2
IDN.11.19.14_1,Rowokangkung,38251,3.43,650,98.6
IDN.11.19.15_1,Senduro,50548,4.53,296,100.4
IDN.11.19.16_1,Sukodono,56934,5.1,1976,100.1
IDN.11.19.17_1,Sumbersuko,36831,3.3,1267,99.3
IDN.11.19.18_1,Tekung,35688,3.2,1280,100
IDN.11.19.19_1,Tempeh,85267,7.64,1165,98.2
IDN.11.19.20_1,Tempursari,33561,3.01,319,100.8
IDN.11.19.21_1,Yosowilangun,60843,5.45,840,98.1
