KODE,TANAMAN,SATUAN,KOMODITAS,SEKTOR
1101,PADI SAWAH,m2,PADI,PANGAN
1102,PADI LADANG (GOGO),m2,PADI,PANGAN
1201,JAGUNG,m2,PALAWIJA,PANGAN
1202,KEDELAI,m2,PALAWIJA,PANGAN
1203,KACANG TANAH,m2,PALAWIJA,PANGAN
1204,KACANG HIJAU,m2,PALAWIJA,PANGAN
1205,UBI KAYU/KETELA POHON,m2,PALAWIJA,PANGAN
1206,UBI JALAR/KETELA RAMBAT,m2,PALAWIJA,PANGAN
1207,SORGUM,m2,PALAWIJA,PANGAN
1208,GANDUM,m2,PALAWIJA,PANGAN
1209,TALAS,m2,PALAWIJA,PANGAN
1210,GANYONG,m2,PALAWIJA,PANGAN
1211,GARUT,m2,PALAWIJA,PANGAN
1212,JAGUNG MANIS,m2,PALAWIJA,PANGAN
1299,LAINNYA,m2,PALAWIJA,PANGAN
2101,ALPUKAT,Pohon,BUAH TAHUNAN,HORTIKULTURA
2102,ANGGUR,Pohon,BUAH TAHUNAN,HORTIKULTURA
2103,APEL,Pohon,BUAH TAHUNAN,HORTIKULTURA
2104,BELIMBING DEWA/DEWI,Pohon,BUAH TAHUNAN,HORTIKULTURA
2105,BELIMBING DEMAK KUNIR,Pohon,BUAH TAHUNAN,HORTIKULTURA
2106,BELIMBING KARANG SARI,Pohon,BUAH TAHUNAN,HORTIKULTURA
2107,BELIMBING LAINNYA,Pohon,BUAH TAHUNAN,HORTIKULTURA
2108,BUAH NAGA,Pohon,BUAH TAHUNAN,HORTIKULTURA
2109,BUAH NONA/SRIKAYA,Pohon,BUAH TAHUNAN,HORTIKULTURA
2110,CEMPEDAK,Pohon,BUAH TAHUNAN,HORTIKULTURA
2111,DUKU,Pohon,BUAH TAHUNAN,HORTIKULTURA
2112,DURIAN MONTHONG,Pohon,BUAH TAHUNAN,HORTIKULTURA
2113,DURIAN LAI,Pohon,BUAH TAHUNAN,HORTIKULTURA
2114,DURIAN LAINNYA,Pohon,BUAH TAHUNAN,HORTIKULTURA
2115,DUWET/JUWET,Pohon,BUAH TAHUNAN,HORTIKULTURA
2116,JAMBU AIR,Pohon,BUAH TAHUNAN,HORTIKULTURA
2117,JAMBU AIR CITRA,Pohon,BUAH TAHUNAN,HORTIKULTURA
2118,JAMBU AIR DALHARI,Pohon,BUAH TAHUNAN,HORTIKULTURA
