"","day","hijri_day","imsak","fajr","sunrise","duhr","asr","maghrib","isha","qiyam","cities","sunset"
"1",2024-01-01,18,1899-12-31 03:34:00,1899-12-31 03:44:00,"03:44",1899-12-31 11:29:00,1899-12-31 14:55:00,1899-12-31 17:47:00,1899-12-31 19:03:00,1899-12-31 23:21:00,"Banyuwangi","17:47"
"2",2024-01-02,19,1899-12-31 03:35:00,1899-12-31 03:45:00,"03:45",1899-12-31 11:30:00,1899-12-31 14:56:00,1899-12-31 17:47:00,1899-12-31 19:03:00,1899-12-31 23:22:00,"Banyuwangi","17:47"
"3",2024-01-03,20,1899-12-31 03:36:00,1899-12-31 03:46:00,"03:46",1899-12-31 11:30:00,1899-12-31 14:56:00,1899-12-31 17:48:00,1899-12-31 19:03:00,1899-12-31 23:22:00,"Banyuwangi","17:48"
"4",2024-01-04,21,1899-12-31 03:36:00,1899-12-31 03:46:00,"03:46",1899-12-31 11:31:00,1899-12-31 14:56:00,1899-12-31 17:48:00,1899-12-31 19:04:00,1899-12-31 23:23:00,"Banyuwangi","17:48"
"5",2024-01-05,22,1899-12-31 03:37:00,1899-12-31 03:47:00,"03:47",1899-12-31 11:31:00,1899-12-31 14:57:00,1899-12-31 17:48:00,1899-12-31 19:04:00,1899-12-31 23:23:00,"Banyuwangi","17:48"
"6",2024-01-06,23,1899-12-31 03:37:00,1899-12-31 03:47:00,"03:47",1899-12-31 11:31:00,1899-12-31 14:57:00,1899-12-31 17:49:00,1899-12-31 19:04:00,1899-12-31 23:23:00,"Banyuwangi","17:49"
"7",2024-01-07,24,1899-12-31 03:38:00,1899-12-31 03:48:00,"03:48",1899-12-31 11:32:00,1899-12-31 14:57:00,1899-12-31 17:49:00,1899-12-31 19:05:00,1899-12-31 23:24:00,"Banyuwangi","17:49"
"8",2024-01-08,25,1899-12-31 03:39:00,1899-12-31 03:49:00,"03:49",1899-12-31 11:32:00,1899-12-31 14:57:00,1899-12-31 17:49:00,1899-12-31 19:05:00,1899-12-31 23:24:00,"Banyuwangi","17:49"
"9",2024-01-09,26,1899-12-31 03:39:00,1899-12-31 03:49:00,"03:49",1899-12-31 11:33:00,1899-12-31 14:58:00,1899-12-31 17:50:00,1899-12-31 19:05:00,1899-12-31 23:25:00,"Banyuwangi","17:50"
"10",2024-01-10,27,1899-12-31 03:40:00,1899-12-31 03:50:00,"03:50",1899-12-31 11:33:00,1899-12-31 14:58:00,1899-12-31 17:50:00,1899-12-31 19:05:00,1899-12-31 23:25:00,"Banyuwangi","17:50"
"11",2024-01-11,28,1899-12-31 03:40:00,1899-12-31 03:50:00,"03:50",1899-12-31 11:34:00,1899-12-31 14:58:00,1899-12-31 17:50:00,1899-12-31 19:06:00,1899-12-31 23:26:00,"Banyuwangi","17:50"
"12",2024-01-12,29,1899-12-31 03:41:00,1899-12-31 03:51:00,"03:51",1899-12-31 11:34:00,1899-12-31 14:58:00,1899-12-31 17:51:00,1899-12-31 19:06:00,1899-12-31 23:26:00,"Banyuwangi","17:51"
"13",2024-01-13,1,1899-12-31 03:42:00,1899-12-31 03:52:00,"03:52",1899-12-31 11:34:00,1899-12-31 14:59:00,1899-12-31 17:51:00,1899-12-31 19:06:00,1899-12-31 23:26:00,"Banyuwangi","17:51"
"14",2024-01-14,2,1899-12-31 03:42:00,1899-12-31 03:52:00,"03:52",1899-12-31 11:35:00,1899-12-31 14:59:00,1899-12-31 17:51:00,1899-12-31 19:06:00,1899-12-31 23:27:00,"Banyuwangi","17:51"
"15",2024-01-15,3,1899-12-31 03:43:00,1899-12-31 03:53:00,"03:53",1899-12-31 11:35:00,1899-12-31 14:59:00,1899-12-31 17:51:00,1899-12-31 19:06:00,1899-12-31 23:27:00,"Banyuwangi","17:51"
"16",2024-01-16,4,1899-12-31 03:44:00,1899-12-31 03:54:00,"03:54",1899-12-31 11:35:00,1899-12-31 14:59:00,1899-12-31 17:52:00,1899-12-31 19:06:00,1899-12-31 23:27:00,"Banyuwangi","17:52"
"17",2024-01-17,5,1899-12-31 03:44:00,1899-12-31 03:54:00,"03:54",1899-12-31 11:36:00,1899-12-31 14:59:00,1899-12-31 17:52:00,1899-12-31 19:06:00,1899-12-31 23:28:00,"Banyuwangi","17:52"
