"","KLP","DESCR","PROCYEAR","PROCMTH","REG","DESTCTRY","POD","VAL","NETWT","SITC","DESTCTRY_L","POD_LABEL","HSCODE","PROVINSI"
"1","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Amerika Utara","US","IDMRI",392727,216000,"07111","UNITED STATES","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"2","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Amerika Utara","US","IDTES",71985,57600,"07111","UNITED STATES","TANJUNG EMAS","0901119000","33 JAWA TENGAH"
"3","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Asia Selatan dan Tenggara","MY","IDKTK",19603,45901,"07111","MALAYSIA","KUALA TUNGKAL","0901119000","15 JAMBI"
"4","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Asia Selatan dan Tenggara","MY","IDMRI",606841,364800,"07111","MALAYSIA","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"5","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Asia Selatan dan Tenggara","SG","IDMRI",136980,72000,"07111","SINGAPORE","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"6","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Asia Timur","CN","IDCGK",6500,100,"07111","CHINA","SOEKARNO-HATTA (U)","0901119000","31 DKI JAKARTA"
"7","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Asia Timur","JP","IDTES",122436,54000,"07111","JAPAN","TANJUNG EMAS","0901119000","33 JAWA TENGAH"
"8","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Asia Timur","TW","IDTPE",71100,18000,"07111","TAIWAN","TANJUNG PERAK","0901119000","35 JAWA TIMUR"
"9","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Eropa Barat","FR","IDMRI",37906,21600,"07111","FRANCE","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"10","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Eropa Barat","DE","IDMRI",686718,404400,"07111","GERMANY, FED. REP. OF","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"11","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Eropa Barat","IT","IDMRI",205740,108000,"07111","ITALY","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"12","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Eropa Barat","GB","IDMRI",71064,42000,"07111","UNITED KINGDOM","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"13","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Eropa Timur","GE","IDMRI",36756,18000,"07111","GEORGIA","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"14","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"01","Eropa Timur","RU","IDMRI",241920,172800,"07111","RUSSIA FEDERATION","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"15","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"02","Afrika","EG","IDMRI",130500,90000,"07111","EGYPT","MUSI RIVER/BOOM BARU","0901119000","16 SUMATERA SELATAN"
"16","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"02","Amerika Utara","US","IDTES",119975,96000,"07111","UNITED STATES","TANJUNG EMAS","0901119000","33 JAWA TENGAH"
"17","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"02","Asia Selatan dan Tenggara","MY","IDTPP",8316,1260,"07111","MALAYSIA","TANJUNG PRIOK","0901119000","31 DKI JAKARTA"
"18","Non Migas","Oth coffee,not roasted,not decaffeinated",2011,"02","Asia Timur","HK","IDTES",43560,18000,"07111","HONG KONG","TANJUNG EMAS","0901119000","33 JAWA TENGAH"
